30.1133,17.21243
30.13475,17.21243
30.13475,17.16666
30.10258,17.15903
30.10258,17.11325
30.1133,17.10562
30.08113,17.08273
30.09185,17.05984
30.09185,17.02933
30.09185,16.97592
30.0704,16.95303
30.04895,16.89963
30.0704,16.89963
30.04895,16.86148
30.04895,16.83859
30.0704,16.85385
30.0704,16.85385
30.04895,16.83096
30.04895,16.83096
30.0704,16.82333
30.04895,16.82333
30.04895,16.80045
30.05968,16.76993
30.04895,16.76993
30.03823,16.76993
30.03823,16.7623
30.01678,16.76993
30.04895,16.73178
30.0275,16.73941
30.0275,16.73178
30.00605,16.67075
